age,gender,Q3,Q4,Q5,Q6
35-39,Man,Colombia,Doctoral degree,Student,5-10 years
30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years
35-39,Man,Argentina,Bachelor’s degree,Software Engineer,10-20 years
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
30-34,Man,Japan,Master’s degree,Software Engineer,3-5 years
30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years
22-24,Man,Brazil,Bachelor’s degree,Student,3-5 years
25-29,Woman,China,Master’s degree,Student,< 1 years
35-39,Man,Germany,Doctoral degree,Data Scientist,5-10 years
22-24,Man,China,No formal education past high school,Student,< 1 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
35-39,Man,United States of America,Doctoral degree,Research Scientist,1-2 years
22-24,Man,Indonesia,Bachelor’s degree,Student,< 1 years
30-34,Man,Canada,Bachelor’s degree,Data Engineer,< 1 years
30-34,Man,Switzerland,Bachelor’s degree,Other,< 1 years
18-21,Woman,India,Bachelor’s degree,Student,1-2 years
25-29,Woman,Other,Bachelor’s degree,Currently not employed,3-5 years
22-24,Man,Singapore,Bachelor’s degree,Student,3-5 years
22-24,Man,India,Bachelor’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,1-2 years
22-24,Woman,India,Doctoral degree,Statistician,3-5 years
30-34,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years
55-59,Woman,Canada,Master’s degree,Product/Project Manager,1-2 years
35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years
25-29,Woman,United States of America,Master’s degree,Student,1-2 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
18-21,Man,Egypt,Bachelor’s degree,Student,1-2 years
30-34,Man,Netherlands,Bachelor’s degree,Software Engineer,10-20 years
25-29,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years
35-39,Woman,Pakistan,Master’s degree,Data Analyst,5-10 years
18-21,Man,India,Bachelor’s degree,Student,3-5 years
30-34,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years
18-21,Woman,India,Bachelor’s degree,Student,< 1 years
50-54,Woman,United States of America,Bachelor’s degree,Other,I have never written code
35-39,Man,India,Bachelor’s degree,Other,I have never written code
22-24,Man,Nepal,Bachelor’s degree,Student,3-5 years
22-24,Man,Indonesia,Master’s degree,Data Scientist,3-5 years
25-29,Man,South Korea,Master’s degree,Currently not employed,5-10 years
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years
30-34,Man,United States of America,Master’s degree,Student,3-5 years
